Rank,Country,Population,Area
1,China,1420062022.00,9706961.00
2,India,1368737513.00,3287590.00
3,United States,329093110.00,9372610.00
4,Indonesia,269536482.00,1904569.00
5,Brazil,212392717.00,8515767.00
6,Pakistan,204596442.00,881912.00
7,Nigeria,200962417.00,923768.00
8,Bangladesh,168065920.00,147570.00
9,Russia,143895551.00,17098242.00
10,Mexico,132328035.00,1964375.00
11,Japan,126854745.00,377930.00
12,Ethiopia,110135635.00,1104300.00
13,Philippines,108106310.00,342353.00
14,Egypt,101168745.00,1002450.00
15,Vietnam,97429061.00,331212.00
16,DR Congo,86727573.00,2344858.00
17,Turkey,82961805.00,783562.00
18,Iran,82820766.00,1648195.00
19,Germany,82438639.00,357114.00
20,Thailand,69306160.00,513120.00
21,United Kingdom,66959016.00,242900.00
22,France,65480710.00,551695.00
23,Tanzania,60913557.00,945087.00
24,Italy,59216525.00,301336.00
25,South Africa,58065097.00,1221037.00
26,Myanmar,54336138.00,676578.00
27,Kenya,52214791.00,580367.00
28,South Korea,51339238.00,100210.00
29,Colombia,49849818.00,1141748.00
30,Spain,46441049.00,505992.00
31,Uganda,45711874.00,241550.00
32,Argentina,45101781.00,2780400.00
33,Ukraine,43795220.00,603500.00
34,Algeria,42679018.00,2381741.00
35,Sudan,42514094.00,1886068.00
36,Iraq,40412299.00,438317.00
37,Poland,38028278.00,312679.00
38,Canada,37279811.00,9984670.00
39,Afghanistan,37209007.00,652230.00
40,Morocco,36635156.00,446550.00
41,Saudi Arabia,34140662.00,2149690.00
42,Peru,32933835.00,1285216.00
43,Uzbekistan,32807368.00,447400.00
44,Venezuela,32779868.00,916445.00
45,Malaysia,32454455.00,330803.00
46,Angola,31787566.00,1246700.00
47,Mozambique,31408823.00,801590.00
48,Ghana,30096970.00,238533.00
49,Nepal,29942018.00,147181.00
50,Yemen,29579986.00,527968.00
51,Madagascar,26969642.00,587041.00
52,North Korea,25727408.00,120538.00
53,Ivory Coast,25531083.00,322463.00
54,Cameroon,25312993.00,475442.00
55,Australia,25088636.00,7692024.00
56,Taiwan,23758247.00,36193.00
57,Niger,23176691.00,1267000.00
58,Sri Lanka,21018859.00,65610.00
59,Burkina Faso,20321560.00,272967.00
60,Malawi,19718743.00,118484.00
61,Mali,19689140.00,1240192.00
62,Romania,19483360.00,238391.00
63,Kazakhstan,18592970.00,2724900.00
64,Syria,18499181.00,185180.00
65,Chile,18336653.00,756102.00
66,Zambia,18137369.00,752612.00
67,Guatemala,17577842.00,108889.00
68,Zimbabwe,17297495.00,390757.00
69,Netherlands,17132908.00,41850.00
70,Ecuador,17100444.00,276841.00
71,Senegal,16743859.00,196722.00
72,Cambodia,16482646.00,181035.00
73,Chad,15814345.00,1284000.00
74,Somalia,15636171.00,637657.00
75,Guinea,13398180.00,245857.00
76,South Sudan,13263184.00,619745.00
77,Rwanda,12794412.00,26338.00
78,Benin,11801595.00,112622.00
79,Tunisia,11783168.00,163610.00
80,Burundi,11575964.00,27834.00
81,Belgium,11562784.00,30528.00
82,Cuba,11492046.00,109884.00
83,Bolivia,11379861.00,1098581.00
84,Haiti,11242856.00,27750.00
85,Greece,11124603.00,131990.00
86,Dominican Republic,10996774.00,48671.00
87,Czech Republic,10630589.00,78865.00
88,Portugal,10254666.00,92090.00
89,Jordan,10069794.00,89342.00
90,Sweden,10053135.00,450295.00
91,Azerbaijan,10014575.00,86600.00
92,United Arab Emirates,9682088.00,83600.00
93,Hungary,9655361.00,93028.00
94,Honduras,9568688.00,112492.00
95,Belarus,9433874.00,207600.00
96,Tajikistan,9292000.00,143100.00
97,Austria,8766201.00,83871.00
98,Serbia,8733407.00,88361.00
99,Switzerland,8608259.00,41284.00
100,Papua New Guinea,8586525.00,462840.00
101,Israel,8583916.00,20770.00
102,Togo,8186384.00,56785.00
103,Sierra Leone,7883123.00,71740.00
104,Hong Kong,7490776.00,1104.00
105,Laos,7064242.00,236800.00
106,Bulgaria,6988739.00,110879.00
107,Paraguay,6981981.00,406752.00
108,Libya,6569864.00,1759540.00
109,El Salvador,6445405.00,21041.00
110,Nicaragua,6351157.00,130373.00
111,Kyrgyzstan,6218616.00,199951.00
112,Lebanon,6065922.00,10452.00
113,Turkmenistan,5942561.00,488100.00
114,Singapore,5868104.00,710.00
115,Denmark,5775224.00,43094.00
116,Finland,5561389.00,338424.00
117,Republic of the Congo,5542197.00,342000.00
118,Slovakia,5450987.00,49037.00
119,Norway,5400916.00,323802.00
120,Eritrea,5309659.00,117600.00
121,Palestine,5186790.00,6220.00
122,Oman,5001875.00,309500.00
123,Costa Rica,4999384.00,51100.00
124,Liberia,4977720.00,111369.00
125,Ireland,4847139.00,70273.00
126,Central African Republic,4825711.00,622984.00
127,New Zealand,4792409.00,270467.00
128,Mauritania,4661149.00,1030700.00
129,Kuwait,4248974.00,17818.00
130,Panama,4226197.00,75417.00
131,Croatia,4140148.00,56594.00
132,Moldova,4029750.00,33846.00
133,Georgia,3904204.00,69700.00
134,Puerto Rico,3654978.00,8870.00
135,Bosnia and Herzegovina,3501774.00,51209.00
136,Uruguay,3482156.00,181034.00
137,Mongolia,3166244.00,1564110.00
138,Albania,2938428.00,28748.00
139,Armenia,2936706.00,29743.00
140,Jamaica,2906339.00,10991.00
141,Lithuania,2864459.00,65300.00
142,Qatar,2743901.00,11586.00
143,Namibia,2641996.00,825615.00
144,Botswana,2374636.00,582000.00
145,Lesotho,2292682.00,30355.00
146,Gambia,2228075.00,10689.00
147,Gabon,2109099.00,267668.00
148,Macedonia,2086720.00,25713.00
149,Slovenia,2081900.00,20273.00
150,Guinea-Bissau,1953723.00,36125.00
151,Latvia,1911108.00,64559.00
152,Bahrain,1637896.00,765.00
153,Swaziland,1415414.00,17364.00
154,Trinidad and Tobago,1375443.00,5130.00
155,Equatorial Guinea,1360104.00,28051.00
156,Timor-Leste,1352360.00,14874.00
157,Estonia,1303798.00,45227.00
158,Mauritius,1271368.00,2040.00
159,Cyprus,1198427.00,9251.00
160,Djibouti,985690.00,23200.00
161,Fiji,918757.00,18272.00
162,Reunion,889918.00,2511.00
163,Comoros,850910.00,1862.00
164,Bhutan,826229.00,38394.00
165,Guyana,786508.00,214969.00
166,Macau,642090.00,30.00
167,Solomon Islands,635254.00,28896.00
168,Montenegro,629355.00,13812.00
169,Luxembourg,596992.00,2586.00
170,Western Sahara,582478.00,266000.00
171,Suriname,573085.00,163820.00
172,Cape Verde,560349.00,4033.00
173,Maldives,451738.00,300.00
174,Guadeloupe,448798.00,1628.00
175,Brunei,439336.00,5765.00
176,Malta,433245.00,316.00
177,Bahamas,403095.00,13943.00
178,Belize,390231.00,22966.00
179,Martinique,385320.00,1128.00
180,Iceland,340566.00,103000.00
181,French Guiana,296847.00,83534.00
182,French Polynesia,288506.00,4167.00
183,Vanuatu,288017.00,12189.00
184,Barbados,287010.00,430.00
185,New Caledonia,283376.00,18575.00
186,Mayotte,266380.00,374.00
187,Sao Tome and Principe,213379.00,964.00
188,Samoa,198909.00,2842.00
189,Saint Lucia,180454.00,616.00
190,Guam,167245.00,549.00
191,Curacao,162547.00,444.00
192,Kiribati,120428.00,811.00
193,Saint Vincent and the Grenadines,110488.00,389.00
194,Tonga,110041.00,747.00
195,Grenada,108825.00,344.00
196,Micronesia,106983.00,702.00
197,Aruba,106053.00,180.00
198,United States Virgin Islands,104909.00,347.00
199,Antigua and Barbuda,104084.00,442.00
200,Seychelles,95702.00,452.00
201,Isle of Man,85369.00,572.00
202,Andorra,77072.00,468.00
203,Dominica,74679.00,751.00
204,Cayman Islands,63129.00,264.00
205,Bermuda,60833.00,54.00
206,Greenland,56673.00,2166086.00
207,Saint Kitts and Nevis,56345.00,261.00
208,American Samoa,55727.00,199.00
209,Northern Mariana Islands,55246.00,464.00
210,Marshall Islands,53211.00,181.00
211,Faroe Islands,49692.00,1393.00
212,Sint Maarten,40939.00,34.00
213,Monaco,39102.00,2.02
214,Liechtenstein,38404.00,160.00
215,Turks and Caicos Islands,36461.00,948.00
216,Gibraltar,34879.00,6.00
217,San Marino,33683.00,61.00
218,British Virgin Islands,32206.00,151.00
219,Palau,22206.00,459.00
220,Cook Islands,17462.00,236.00
221,Anguilla,15174.00,91.00
222,Wallis and Futuna,11617.00,142.00
223,Tuvalu,11393.00,26.00
224,Nauru,11260.00,21.00
225,Saint Pierre and Miquelon,6375.00,242.00
226,Montserrat,5220.00,102.00
227,Falkland Islands,2921.00,12173.00
228,Niue,1628.00,260.00
229,Tokelau,1340.00,12.00
230,Vatican City,799.00,0.44
